name,Player,kmax,chi2,p-val
Ernests Gulbis,Ernests Gulbis,15.0,38.22879266645856,0.0004793743736336564
Daniil Medvedev,Daniil Medvedev,9.0,21.65030797560641,0.00560657025292699
Simone Bolelli,Simone Bolelli,15.0,20.758868847184637,0.10797331085666906
Martin Klizan,Martin Klizan,11.0,20.198239431683827,0.027432459370354878
Dudi Sela,Dudi Sela,11.0,49.94474890579566,2.732258537196941e-07
Taylor Harry Fritz,Taylor Harry Fritz,,,
Dustin Brown,Dustin Brown,11.0,48.35049050856045,5.355811929508292e-07
Marton Fucsovics,Marton Fucsovics,6.0,9.795214235040323,0.08125011727217724
Lukas Rosol,Lukas Rosol,12.0,56.350474815184185,4.381250828799921e-08
Dusan Lajovic,Dusan Lajovic,11.0,34.80198263514483,0.0001349610864374018
Ruben Bemelmans,Ruben Bemelmans,10.0,28.877868134996366,0.0006795017465082154
Nikoloz Basilashvili,Nikoloz Basilashvili,13.0,34.81345515920773,0.0005014331822075224
Darian King,Darian King,6.0,16.909549235524842,0.004674572599390969
Vasek Pospisil,Vasek Pospisil,9.0,68.20633218831618,1.1172396341407875e-11
Sergiy Stakhovsky,Sergiy Stakhovsky,14.0,37.73768809365334,0.00031716297647310654
Filip Krajinovic,Filip Krajinovic,6.0,4.799817660242843,0.4407961011265409
Thomaz Bellucci,Thomaz Bellucci,13.0,33.43094911625809,0.0008288580732844775
Yen Hsun Lu,Yen Hsun Lu,11.0,21.776995044310564,0.016281863161233145
Tommy Haas,Tommy Haas,9.0,14.021140819916946,0.08121605012353739
Andrej Martin,Andrej Martin,5.0,6.136861298346985,0.1891578714408244
